"X","Y"
20.25,12.75
20.75,12.75
21.25,12.75
21.75,12.75
22.25,12.75
22.75,12.75
23.25,12.75
23.75,12.75
0.25,13.25
0.75,13.25
1.25,13.25
1.75,13.25
2.25,13.25
2.75,13.25
3.25,13.25
3.75,13.25
4.25,13.25
4.75,13.25
5.25,13.25
5.75,13.25
6.25,13.25
6.75,13.25
7.25,13.25
7.75,13.25
8.25,13.25
8.75,13.25
9.25,13.25
9.75,13.25
10.25,13.25
10.75,13.25
11.25,13.25
11.75,13.25
12.25,13.25
12.75,13.25
13.25,13.25
13.75,13.25
14.25,13.25
14.75,13.25
15.25,13.25
15.75,13.25
16.25,13.25
16.75,13.25
17.25,13.25
17.75,13.25
18.25,13.25
18.75,13.25
19.25,13.25
19.75,13.25
20.25,13.25
20.75,13.25
21.25,13.25
21.75,13.25
22.25,13.25
22.75,13.25
23.25,13.25
23.75,13.25
0.25,13.75
0.75,13.75
1.25,13.75
1.75,13.75
2.25,13.75
2.75,13.75
3.25,13.75
3.75,13.75
4.25,13.75
4.75,13.75
5.25,13.75
5.75,13.75
6.25,13.75
6.75,13.75
7.25,13.75
7.75,13.75
8.25,13.75
8.75,13.75
9.25,13.75
9.75,13.75
10.25,13.75
10.75,13.75
11.25,13.75
11.75,13.75
12.25,13.75
12.75,13.75
13.25,13.75
13.75,13.75
14.25,13.75
14.75,13.75
15.25,13.75
15.75,13.75
16.25,13.75
16.75,13.75
17.25,13.75
17.75,13.75
18.25,13.75
18.75,13.75
19.25,13.75
19.75,13.75
20.25,13.75
20.75,13.75
21.25,13.75
21.75,13.75
22.25,13.75
22.75,13.75
23.25,13.75
23.75,13.75
0.25,14.25
0.75,14.25
1.25,14.25
1.75,14.25
2.25,14.25
2.75,14.25
3.25,14.25
3.75,14.25
4.25,14.25
4.75,14.25
5.25,14.25
5.75,14.25
6.25,14.25
6.75,14.25
7.25,14.25
7.75,14.25
8.25,14.25
8.75,14.25
9.25,14.25
9.75,14.25
10.25,14.25
10.75,14.25
11.25,14.25
11.75,14.25
12.25,14.25
12.75,14.25
13.25,14.25
13.75,14.25
14.25,14.25
14.75,14.25
15.25,14.25
15.75,14.25
16.25,14.25
16.75,14.25
17.25,14.25
17.75,14.25
18.25,14.25
18.75,14.25
19.25,14.25
19.75,14.25
20.25,14.25
20.75,14.25
21.25,14.25
21.75,14.25
22.25,14.25
22.75,14.25
23.25,14.25
23.75,14.25
0.25,14.75
0.75,14.75
1.25,14.75
1.75,14.75
2.25,14.75
2.75,14.75
3.25,14.75
3.75,14.75
4.25,14.75
4.75,14.75
5.25,14.75
5.75,14.75
6.25,14.75
6.75,14.75
7.25,14.75
7.75,14.75
8.25,14.75
8.75,14.75
9.25,14.75
9.75,14.75
10.25,14.75
10.75,14.75
11.25,14.75
11.75,14.75
12.25,14.75
12.75,14.75
13.25,14.75
13.75,14.75
14.25,14.75
14.75,14.75
15.25,14.75
15.75,14.75
16.25,14.75
16.75,14.75
17.25,14.75
17.75,14.75
18.25,14.75
18.75,14.75
19.25,14.75
19.75,14.75
20.25,14.75
20.75,14.75
21.25,14.75
21.75,14.75
22.25,14.75
22.75,14.75
23.25,14.75
23.75,14.75
0.25,15.25
0.75,15.25
1.25,15.25
1.75,15.25
2.25,15.25
2.75,15.25
3.25,15.25
3.75,15.25
4.25,15.25
4.75,15.25
5.25,15.25
5.75,15.25
6.25,15.25
6.75,15.25
7.25,15.25
7.75,15.25
8.25,15.25
8.75,15.25
9.25,15.25
9.75,15.25
10.25,15.25
10.75,15.25
11.25,15.25
11.75,15.25
12.25,15.25
12.75,15.25
13.25,15.25
13.75,15.25
14.25,15.25
14.75,15.25
15.25,15.25
15.75,15.25
16.25,15.25
16.75,15.25
17.25,15.25
17.75,15.25
18.25,15.25
18.75,15.25
19.25,15.25
19.75,15.25
20.25,15.25
20.75,15.25
21.25,15.25
21.75,15.25
22.25,15.25
22.75,15.25
23.25,15.25
23.75,15.25
0.25,15.75
0.75,15.75
1.25,15.75
1.75,15.75
2.25,15.75
2.75,15.75
3.25,15.75
3.75,15.75
4.25,15.75
4.75,15.75
5.25,15.75
5.75,15.75
6.25,15.75
6.75,15.75
7.25,15.75
7.75,15.75
8.25,15.75
8.75,15.75
9.25,15.75
9.75,15.75
10.25,15.75
10.75,15.75
11.25,15.75
11.75,15.75
12.25,15.75
12.75,15.75
13.25,15.75
13.75,15.75
14.25,15.75
14.75,15.75
15.25,15.75
15.75,15.75
16.25,15.75
16.75,15.75
17.25,15.75
